trial_id,epoch,train_loss,val_subcaption_mae_pts,val_content_share_mae,val_anchor_sum_error_pts
v9_breakdown_real_anchor_datefwd_diag_full,1,0.059940132427548205,0.6042614119468253,0.004021282491986563,2.2463651662306467e-7
v9_breakdown_real_anchor_datefwd_diag_full,2,0.059182414450188854,0.604130147412684,0.00398853576041375,2.280304882806004e-7
v9_breakdown_real_anchor_datefwd_diag_full,3,0.0591615034871362,0.6039432223856762,0.003940384078944093,2.316147761058484e-7
v9_breakdown_real_anchor_datefwd_diag_full,4,0.05914258826338933,0.604022455518374,0.003970346447316534,2.2631764277118983e-7
v9_breakdown_real_anchor_datefwd_diag_full,5,0.059124045314785705,0.6040200684857703,0.003961771974415786,2.337082539506835e-7
v9_breakdown_real_anchor_datefwd_diag_full,6,0.05911486048236808,0.6040879942133288,0.003962721102951228,2.2774501402903195e-7
v9_breakdown_real_anchor_datefwd_diag_full,7,0.0591081130588215,0.6038169987479394,0.003905777875149408,2.3136102121556533e-7
v9_breakdown_real_anchor_datefwd_diag_full,8,0.05909708030667696,0.6039177703736889,0.003931693828392193,2.2368493578450326e-7
v9_breakdown_real_anchor_datefwd_diag_full,9,0.05909356795169857,0.6038672991762585,0.003913939732686255,2.29330982093301e-7
v9_breakdown_real_anchor_datefwd_diag_full,10,0.05908579681852753,0.6039489277868398,0.003933756578105784,2.2482683279077697e-7
v9_breakdown_real_anchor_datefwd_diag_full,11,0.05907934520127758,0.6039193120456651,0.003932602481040176,2.301556854867209e-7
v9_breakdown_real_anchor_datefwd_diag_full,12,0.059072726303424555,0.60391879433018,0.003939545575646054,2.2438276173278163e-7
v9_breakdown_real_anchor_datefwd_diag_full,13,0.0590617376778166,0.6040230925145171,0.003951253302914253,2.2568325554548223e-7
v9_breakdown_real_anchor_datefwd_diag_full,14,0.05905634509295773,0.604043016714115,0.0039743023849505826,2.3101210824142615e-7
v9_breakdown_real_anchor_datefwd_diag_full,15,0.05905094982602445,0.603826352311792,0.003921981691037444,2.257149749067676e-7
v9_breakdown_real_anchor_datefwd_diag_full,16,0.05904272454881912,0.6038781780924759,0.003942476408944542,2.2787189147417348e-7
v9_breakdown_real_anchor_datefwd_diag_full,17,0.05903561077290338,0.6039702587559703,0.003979060923530615,2.304728790995747e-7
v9_breakdown_real_anchor_datefwd_diag_full,18,0.05903022755717018,0.6038670283325622,0.003917160893298588,2.3037772101571854e-7
v9_breakdown_real_anchor_datefwd_diag_full,19,0.059026760695752495,0.6039628586051929,0.00393201379744916,2.2806220764188578e-7
v9_breakdown_real_anchor_datefwd_diag_full,20,0.05901746230498502,0.6039639335346977,0.0039555636310596425,2.2939442081587175e-7
v9_breakdown_real_anchor_datefwd_diag_full,21,0.059016290164434757,0.6040400754649712,0.003973855869519308,2.215280192170974e-7
v9_breakdown_real_anchor_datefwd_diag_full,22,0.05900941344269138,0.6038834968663448,0.0039479202324303846,2.275229785000343e-7
v9_breakdown_real_anchor_datefwd_diag_full,23,0.05900754534739346,0.603990426100332,0.0039842227262103505,2.3253463758312442e-7
v9_breakdown_real_anchor_datefwd_diag_full,24,0.0589976113296699,0.6039242447631877,0.003963409157353771,2.3396200884096654e-7
v9_breakdown_real_anchor_datefwd_diag_full,25,0.05899569448552899,0.6040154833014295,0.0039676470146884635,2.2818908508702729e-7
v9_breakdown_real_anchor_datefwd_diag_full,26,0.05899017011371169,0.6039387640153419,0.00395792689000205,2.3310558608626126e-7
v9_breakdown_real_anchor_datefwd_diag_full,27,0.05898544273827074,0.604207880021347,0.004040660888604884,2.241290068424986e-7
v9_breakdown_real_anchor_datefwd_diag_full,28,0.058979213194762514,0.6041200424488818,0.0040130784298570655,2.2806220764188578e-7
v9_breakdown_real_anchor_datefwd_diag_full,29,0.05897254906994839,0.6040378400429847,0.003985729954925148,2.2958473698358402e-7
v9_breakdown_real_anchor_datefwd_diag_full,30,0.05896878569890466,0.6040610955367821,0.003992628975478521,2.2155973857838277e-7
v9_breakdown_real_anchor_datefwd_diag_full,31,0.058961163742988806,0.6041251899064805,0.003970718630407096,2.2010064795925527e-7
v9_breakdown_real_anchor_datefwd_diag_full,32,0.0589604025393871,0.6040329100453972,0.003976653992975098,2.259052910744799e-7
v9_breakdown_real_anchor_datefwd_diag_full,33,0.058954279034100394,0.6040389708778636,0.003998122408045414,2.2939442081587175e-7
v9_breakdown_real_anchor_datefwd_diag_full,34,0.05895169959905085,0.6040805250412212,0.004000600665532162,2.2431932301021087e-7
v9_breakdown_real_anchor_datefwd_diag_full,35,0.05894448459492407,0.6039832342426704,0.003959097744802717,2.2787189147417348e-7
v9_breakdown_real_anchor_datefwd_diag_full,36,0.05894185764681236,0.6041571179256542,0.004013413180136391,2.2676171382918516e-7
v9_breakdown_real_anchor_datefwd_diag_full,37,0.05894267465199474,0.6042197956610985,0.004022867264627404,2.2083019326881902e-7
v9_breakdown_real_anchor_datefwd_diag_full,38,0.05893277371692799,0.6041361441958302,0.004005941252409322,2.2565153618419684e-7
v9_breakdown_real_anchor_datefwd_diag_full,39,0.05892520180957499,0.6041157905002209,0.003994083012806904,2.2190865155252196e-7
v9_breakdown_real_anchor_datefwd_diag_full,40,0.058929907544455734,0.6041502787397109,0.004012960647938772,2.2619076532604832e-7
v9_breakdown_real_anchor_datefwd_diag_full,41,0.0589202835080519,0.6041991468882011,0.004025746672911407,2.2869659486759338e-7
v9_breakdown_real_anchor_datefwd_diag_full,42,0.058915202943457666,0.6040516326521508,0.004003896882083136,2.2584185235190914e-7
v9_breakdown_real_anchor_datefwd_diag_full,43,0.058905142488715805,0.6040931455882685,0.004027355770337433,2.304728790995747e-7
v9_breakdown_real_anchor_datefwd_diag_full,44,0.05890443846157106,0.604210406531912,0.004035795856234255,2.3002880804157936e-7
