severity,type,description,competition_slug,season,event_name,caption_name,score,count
error,score_out_of_range,"Score 67 exceeds normal 0-20pt range for caption "Visual Performance"",2023-summer-music-games-in-cincinnati,2023,"Summer Music Games in Cincinnati",Visual Performance,67,
error,score_out_of_range,"Score 66 exceeds normal 0-20pt range for caption "Brass"",2019-dci-performers-showcase-venue-1,2019,"DCI Performers Showcase - Venue 1",Brass,66,
error,score_out_of_range,"Score 65 exceeds normal 0-20pt range for caption "Visual Performance"",2023-midcal-champions-showcase,2023,"MidCal Champions Showcase",Visual Performance,65,
error,score_out_of_range,"Score 38.9 exceeds normal 0-20pt range for caption "Special Brass"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Brass,38.9,
error,score_out_of_range,"Score 38.9 exceeds normal 0-20pt range for caption "Special Perc"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Perc,38.9,
error,score_out_of_range,"Score 38.8 exceeds normal 0-20pt range for caption "Special Brass"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Brass,38.8,
error,score_out_of_range,"Score 38.75 exceeds normal 0-20pt range for caption "Special - Visual Proficiency"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special - Visual Proficiency,38.75,
error,score_out_of_range,"Score 38.6 exceeds normal 0-20pt range for caption "Special CG"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special CG,38.6,
error,score_out_of_range,"Score 38.5 exceeds normal 0-20pt range for caption "Special Brass"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Brass,38.5,
error,score_out_of_range,"Score 38.5 exceeds normal 0-20pt range for caption "Special CG"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special CG,38.5,
error,score_out_of_range,"Score 38.5 exceeds normal 0-20pt range for caption "Special Perc"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Perc,38.5,
error,score_out_of_range,"Score 38.45 exceeds normal 0-20pt range for caption "Special Brass"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Brass,38.45,
